"","sample","legal","non-legal","legalpa","X","clust","lon","lat","time","Period","CvI"
"1.32","170",0,0,0,32,"1",115.3698333,-33.54165,"T2","Before","Impact"
"1.58","378",0,0,0,58,"1",115.3912,-33.5555833,"T1","Before","Impact"
"1.63","42",0,0,0,63,"1",115.3862333,-33.5425167,"T1","Before","Impact"
"1.78","554",0,0,0,78,"1",115.3835167,-33.55765,"T2","Before","Impact"
"1.81","58",0,0,0,81,"1",115.3795833,-33.56965,"T3","Before","Impact"
"1.82","586",0,0,0,82,"1",115.38595,-33.5309167,"T1","Before","Impact"
"1.95","666",0,0,0,95,"1",115.35715,-33.5511167,"T3","Before","Impact"
"1.117","810",0,0,0,117,"1",115.3766,-33.5513333,"T2","Before","Impact"
"1.119","826",0,0,0,119,"1",115.4005833,-33.5426833,"T3","Before","Impact"
"3.2","1038",0,0,0,2,"3",115.4200167,-33.5333333,"T3","Before","Control"
"3.10","122",0,0,0,10,"3",115.4020833,-33.5375,"T1","Before","Control"
"3.16","12RC7",0,0,0,16,"3",115.41785,-33.5118,"T2","Before","Control"
"3.17","12RC8",0,0,0,17,"3",115.41815,-33.5148667,"T2","Before","Control"
"3.18","12RC9",0,1,0,18,"3",115.4064167,-33.5162167,"T3","Before","Control"
"3.19","135",0,0,0,19,"3",115.4207333,-33.50185,"T1","Before","Control"
"3.25","14",0,1,0,25,"3",115.4130333,-33.5296667,"T1","Before","Control"
"3.34","196",0,0,0,34,"3",115.4045,-33.5098167,"T3","Before","Control"
"3.43","270",0,0,0,43,"3",115.4206,-33.52045,"T1","Before","Control"
"3.61","391",0,0,0,61,"3",115.4101333,-33.50165,"T2","Before","Control"
"3.65","442",0,0,0,65,"3",115.41935,-33.5066,"T2","Before","Control"
"3.73","506",1,1,1,73,"3",115.4165,-33.5173833,"T2","Before","Control"
"3.90","634",0,0,0,90,"3",115.4141167,-33.5336667,"T3","Before","Control"
"3.100","698",1,0,1,100,"3",115.4035333,-33.5246167,"T1","Before","Control"
"3.108","762",0,0,0,108,"3",115.4149,-33.5198667,"T3","Before","Control"
"4.3","106",0,0,0,3,"4",115.3451333,-33.57825,"T1","Before","Control"
"4.14","12RC5",0,0,0,14,"4",115.3443,-33.5621333,"T2","Before","Control"
"4.15","12RC6",0,0,0,15,"4",115.3481333,-33.5711,"T1","Before","Control"
"4.41","26",0,0,0,41,"4",115.3236167,-33.5500333,"T1","Before","Control"
"4.47","282",0,0,0,47,"4",115.3322333,-33.5571833,"T2","Before","Control"
"4.71","490",0,0,0,71,"4",115.3612,-33.5613,"T3","Before","Control"
"4.86","618",0,0,0,86,"4",115.3528167,-33.5678833,"T2","Before","Control"
"4.98","682",0,0,0,98,"4",115.3354167,-33.5696167,"T3","Before","Control"
"4.103","746",0,0,0,103,"4",115.3570667,-33.5794333,"T3","Before","Control"
"4.122","858",0,0,0,122,"4",115.3461833,-33.5573167,"T1","Before","Control"
"27.6","112",2,0,1,6,"27",115.5224,-33.4052,"T2","Before","Control"
"27.7","11R2",0,0,0,7,"27",115.5076167,-33.3967333,"T3","Before","Control"
"27.8","11R3",0,0,0,8,"27",115.5204667,-33.41215,"T1","Before","Control"
"27.29","16",0,0,0,29,"27",115.4986167,-33.3889,"T3","Before","Control"
"27.45","272",0,0,0,45,"27",115.4879333,-33.3815,"T1","Before","Control"
"27.51","316",0,0,0,51,"27",115.5281667,-33.3839667,"T2","Before","Control"
"27.67","448",0,0,0,67,"27",115.4930667,-33.3965,"T1","Before","Control"
"27.70","48",0,0,0,70,"27",115.5133833,-33.40275,"T1","Before","Control"
"27.84","60",0,0,0,84,"27",115.5049333,-33.3626167,"T2","Before","Control"
"27.96","672",0,0,0,96,"27",115.53565,-33.4004333,"T3","Before","Control"
"27.104","748",0,0,0,104,"27",115.5138333,-33.3695667,"T3","Before","Control"
"27.109","764",0,0,0,109,"27",115.49605,-33.3744333,"T2","Before","Control"
